[msg] WM_MOUSEMOVE client=(1173,605)
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
[trace] mouse=(1173,605) valid=1 click=0 release=0 down=0
